,name,5.6_Peak_Area,5.6_actual-RT,6.4_Peak_Area,6.4_actual-RT,8.1_Peak_Area,8.1_actual-RT,8.9_Peak_Area,8.9_actual-RT,13.8_Peak_Area,13.8_actual-RT,14.1_Peak_Area,14.1_actual-RT,16.0_Peak_Area,16.0_actual-RT,19.7_Peak_Area,19.7_actual-RT
F-018-72-CL_2.D,CL_2.D,3.60123,5.604,3.32324,6.328,127308.0,8.171,54.31924,8.896,2.37067,13.809,234.88118,14.147,1055.40051,16.073,518.99139,19.794
F-020-72-CL_2.D,CL_2.D,3.19479,5.608,3.24591,6.345,129307.0,8.177,54.61063,8.902,2.31261,13.81,238.53502,14.15,1073.16858,16.075,527.93176,19.794
F-015-72-CL_2.D,CL_2.D,3.16194,5.616,3.08904,6.342,129098.0,8.175,54.02125,8.9,2.36681,13.808,238.33565,14.148,1070.35876,16.074,526.52588,19.793
F-013-72-CL_2.D,CL_2.D,3.83956,5.612,3.26359,6.31,130114.0,8.179,57.99686,8.903,2.40466,13.809,240.35023,14.149,1079.03284,16.074,530.90369,19.793
F-019-72-CL_2.D,CL_2.D,3.59462,5.611,3.13328,6.362,131953.0,8.187,59.39811,8.907,2.45414,13.809,243.69794,14.151,1095.48401,16.077,538.95111,19.795
F-014-72-CL_2.D,CL_2.D,3.47178,5.614,3.32004,6.36,131601.0,8.187,53.26014,8.907,2.40237,13.81,243.24681,14.151,1091.24939,16.077,536.91461,19.795
F-012-72-CL_2.D,CL_2.D,3.48771,5.61,3.27766,6.316,125871.0,8.162,53.04143,8.89,2.31175,13.806,232.14729,14.142,1042.05957,16.068,511.62399,19.789
F-017-72-CL_2.D,CL_2.D,3.36792,5.608,3.39376,6.348,127176.0,8.169,53.4869,8.896,2.36953,13.809,234.6748,14.147,1053.96399,16.073,517.78217,19.793
F-011-72-CL_2.D,CL_2.D,3.41401,5.612,3.35921,6.341,128625.0,8.174,54.6702,8.899,2.53259,13.809,239.24881,14.148,1063.95447,16.074,522.46674,19.794
F-016-72-CL_2.D,CL_2.D,3.54736,5.611,3.32182,6.466,130155.0,8.178,52.73133,8.902,2.39017,13.808,240.39226,14.149,1079.5387,16.075,531.42847,19.793
